Place 	Quartet 	District 	Score
1 	Four Pitchikers 	CSD 	7636 = 97.9
2 	Evans Quartet 	FWD 	7572 = 97.1
3 	Town and Country Four 	JAD 	7343 = 94.1
4 	Easternaires 	MAD 	7194 = 92.2
5 	Short Cuts 	DIX 	7113 = 91.2
6 	Four Cavaliers 	CSD 	7066 = 90.6
7 	Four-Do-Matics 	EVG 	6883 = 88.2
8 	Oriole Four 	MAD 	6830 = 87.6
9 	Baytown Four 	FWD 	6800 = 87.2
10 	Vi-Counts 	ILL 	6770 = 86.8 
