Place 	Quartet 	District 	Score
1 	Dealer's Choice 	SWD 	6064 = 96.3
2 	Pacificaires 	FWD 	5960 = 94.6
3 	Regents 	MAD 	5940 = 94.3
4 	Boston Common 	NED 	5699 = 90.5
5 	Far Westerners 	FWD 	5639 = 89.5
6 	OK 4 	SWD 	5546 = 88.0
7 	Vagabonds 	PIO 	5532 = 87.8
8 	Saturday's Heroes 	ILL 	5451 = 86.5
9 	Roaring '20s 	JAD 	5408 = 85.8
10 	Soundtracks 	ILL 	5341 = 84.8 
