Place 	Quartet 	District 	Score 
1 	GQ 	MAD 	93.4 
2 	Gimme Four 	MAD 	93.1 
3 	Full Effect 	SHD 	92.3 
4 	First Take 	MAD 	91.0 
5 	Sunday Night Social 	RMD 	90.9
6 	The Newfangled Four 	FWD 	90.5
7 	Secret Best Friends 	MAD 	88.8
8 	Purple Rebar 	FWD 	88.8
9 	Double Date 	FWD 	88.6
10 	The Ladies 	MAD 	88.1 
