Place 	Quartet 	District 	Score
1 	Four Statesmen 	NED 	6968 = 92.9
2 	Western Continentals 	FWD 	6933 = 92.4
3 	Mark IV 	SWD 	6865 = 91.5
4 	Sundowners 	ILL 	6854 = 91.4
5 	Golden Staters 	FWD 	6822 = 91.0
6 	Nighthawks 	ONT 	6514 = 86.9
7 	Oriole Four 	MAD 	6497 = 86.6
8 	Avant Garde 	ILL 	6401 = 85.3
9 	Far Westerners 	FWD 	6244 = 83.3
10 	Doo Dads 	SWD 	6132 = 81.8 
