Place 	Quartet 	District 	Score
1 	Nightlife 	FWD 	8236 = 91.5
2 	Yesteryear 	JAD 	8195 = 91.1
3 	Standing Room Only 	FWD 	7928 = 88.1
4 	FRED 	DIX 	7832 = 87.0
5 	BSQ 	MAD 	7814 = 86.8
6 	Bank Street 	RMD 	7684 = 85.4
7 	Backbeat 	SUN 	7662 = 85.1
8 	Special Feature 	FWD 	7563 = 84.0
9 	Rumors 	JAD 	7537 = 83.7
10 	Michigan Jake 	CAR 	7508 = 83.4
