Place 	Quartet 	District 	Score
1 	Ringmasters 	SNOBS 	8253 = 91.7
2 	Musical Island Boys 	NZABS 	8017 = 89.1
3 	A Mighty Wind 	DIX 	8005 = 88.9
4 	Masterpiece 	FWD 	8004 = 88.9
5 	Main Street 	SUN 	7954 = 88.4
6 	Throwback 	SUN 	7816 = 86.8
7 	Forefront 	CAR 	7784 = 86.5
8 	Men in Black 	NED 	7780 = 86.4
9 	Via Voice 	EVG 	7704 = 85.6
10 	TNS 	DIX 	7674 = 85.3 
