Place 	Quartet 	District 	Score
1 	Side Street Ramblers 	SWD 	4514 = ?
2 	Center Stage 	PIO 	4372 = 97.1
3 	Vaudeville 	MAD 	4248 = 94.4
4 	Grand Tradition 	FWD 	4246 = 94.4
5 	Roaring '20s 	JAD 	4206 = 93.5
6 	The Rapscallions 	JAD 	4202 = 93.4
7 	139th Street Quartet 	FWD 	4137 = 91.9
8 	Remember When 	FWD 	4106 = 91.2
9 	Cincinnati Kids 	JAD 	4071 = 90.5
10 	Interstate Rivals 	CAR 	3927 = 87.3 
